endTime,artistName,trackName,Day,Week,Month,Minutes Played
2021-11-01 04:01:00,Christina Perri,A Thousand Years,1,44,11,4.75
2021-11-01 04:04:00,Camila Cabello,"Million To One - from the Amazon Original Movie ""Cinderella""",1,44,11,3.39
2021-11-01 04:08:00,Lorne Balfe,"Al'Naito (The Flame) - from ""The Wheel Of Time"" soundtrack",1,44,11,3.59
2021-11-01 04:12:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),1,44,11,3.68
2021-11-01 04:17:00,Christina Perri,A Thousand Years,1,44,11,4.75
2021-11-01 04:20:00,Maren Morris,The Bones - with Hozier,1,44,11,3.29
2021-11-01 04:23:00,Alan Walker,Fake A Smile,1,44,11,2.8
2021-11-01 04:25:00,Camila Cabello,Don't Go Yet,1,44,11,2.75
2021-11-01 04:29:00,Idina Menzel,"Let It Go - From ""Frozen""/Soundtrack Version",1,44,11,3.73
2021-11-01 04:32:00,Camila Cabello,Living Proof,1,44,11,3.24
2021-11-01 04:37:00,Taylor Swift,august,1,44,11,4.37
2021-11-01 04:41:00,Taylor Swift,exile (feat. Bon Iver),1,44,11,0.68
2021-11-01 04:41:00,Taylor Swift,exile (feat. Bon Iver),1,44,11,3.86
2021-11-01 04:47:00,Lata Mangeshkar,Aye-Dil-E-Nadan,1,44,11,5.65
2021-11-01 06:14:00,Maren Morris,The Bones - with Hozier,1,44,11,0.76
2021-11-01 06:18:00,Maren Morris,The Bones - with Hozier,1,44,11,2.54
2021-11-01 06:24:00,Taylor Swift,evermore (feat. Bon Iver),1,44,11,5.07
2021-11-01 06:29:00,Lata Mangeshkar,Aye-Dil-E-Nadan,1,44,11,5.65
2021-11-01 06:34:00,Céline Dion,I Surrender,1,44,11,4.8
2021-11-01 06:47:00,Taylor Swift,willow,1,44,11,3.05
2021-11-01 07:01:00,Taylor Swift,willow,1,44,11,0.54
2021-11-01 07:05:00,Céline Dion,How Does A Moment Last Forever,1,44,11,3.63
2021-11-01 07:09:00,Taylor Swift,august,1,44,11,4.37
2021-11-01 07:13:00,Taylor Swift,champagne problems,1,44,11,4.07
2021-11-01 13:30:00,Lata Mangeshkar,Mere Naina Sawan Bhadon- Lata Mangeshkar,1,44,11,5.57
2021-11-01 13:45:00,Lata Mangeshkar,Mere Naina Sawan Bhadon- Lata Mangeshkar,1,44,11,1.19
2021-11-01 13:49:00,Camila Cabello,"Million To One - from the Amazon Original Movie ""Cinderella""",1,44,11,3.39
2021-11-01 13:53:00,Lorne Balfe,"Al'Naito (The Flame) - from ""The Wheel Of Time"" soundtrack",1,44,11,4.14
2021-11-01 13:57:00,Taylor Swift,Delicate,1,44,11,3.87
2021-11-01 14:00:00,Alan Walker,Fake A Smile,1,44,11,2.8
2021-11-01 14:33:00,Lea Salonga,A Whole New World,1,44,11,2.28
2021-11-01 14:40:00,Lata Mangeshkar,Bhor Bhaye Panghat Pe,1,44,11,5.48
2021-11-01 14:43:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),1,44,11,3.68
2021-11-01 14:55:00,Selena Gomez,Wolves,1,44,11,1.2
2021-11-02 01:58:00,Selena Gomez,Wolves,2,44,11,2.11
2021-11-02 02:01:00,Lady Gaga,Shallow - Radio Edit,2,44,11,3.62
2021-11-02 02:04:00,Shawn Mendes,Señorita,2,44,11,3.18
2021-11-02 02:08:00,Ed Sheeran,Bad Habits,2,44,11,3.85
2021-11-02 02:12:00,Camila Cabello,Shameless,2,44,11,3.66
2021-11-02 02:16:00,Idina Menzel,"Let It Go - From ""Frozen""/Soundtrack Version",2,44,11,3.73
2021-11-02 02:34:00,Taylor Swift,All Too Well,2,44,11,3.32
2021-11-02 05:43:00,Mukesh,Chandan Sa Badan Chanchal Chitwan - Mukesh,2,44,11,4.01
2021-11-02 05:48:00,Mukesh,Kabhi Kabhi Mere Dil Mein Duet,2,44,11,4.98
2021-11-02 05:49:00,Mukesh,Kisi Ki Muskurahaton Se,2,44,11,0.91
2021-11-02 06:18:00,Taylor Swift,All Too Well,2,44,11,2.18
2021-11-02 06:21:00,Camila Cabello,Living Proof,2,44,11,3.24
2021-11-02 06:25:00,Britney Spears,Oops!...I Did It Again,2,44,11,3.52
2021-11-02 06:39:00,Christina Perri,A Thousand Years,2,44,11,4.11
2021-11-02 06:52:00,Christina Perri,A Thousand Years,2,44,11,0.65
2021-11-02 06:54:00,Camila Cabello,Don't Go Yet,2,44,11,2.75
2021-11-02 06:59:00,Taylor Swift,exile (feat. Bon Iver),2,44,11,4.76
2021-11-02 07:14:00,Lady Gaga,I'll Never Love Again - Extended Version,2,44,11,5.16
2021-11-02 12:02:00,Lady Gaga,Always Remember Us This Way,2,44,11,3.5
2021-11-02 12:07:00,Lady Gaga,Bad Romance,2,44,11,4.91
2021-11-02 12:10:00,Maren Morris,The Bones - with Hozier,2,44,11,3.29
2021-11-02 12:14:00,Ed Sheeran,Overpass Graffiti,2,44,11,3.95
2021-11-02 12:18:00,Ed Sheeran,The Joker And The Queen,2,44,11,3.09
2021-11-02 12:22:00,Ed Sheeran,Leave Your Life,2,44,11,3.38
2021-11-02 12:22:00,Ed Sheeran,Collide,2,44,11,0.77
2021-11-02 12:24:00,Ed Sheeran,Stop The Rain,2,44,11,1.63
2021-11-02 12:27:00,Ed Sheeran,Love In Slow Motion,2,44,11,2.22
2021-11-02 12:29:00,Ed Sheeran,Sandman,2,44,11,0.51
2021-11-02 12:29:00,Ed Sheeran,Visiting Hours,2,44,11,1.99
2021-11-02 12:36:00,Ed Sheeran,Be Right Now,2,44,11,3.52
2021-11-02 12:49:00,Ed Sheeran,Tides,2,44,11,0.94
2021-11-02 13:49:00,Maren Morris,The Bones - with Hozier,2,44,11,3.29
2021-11-02 13:52:00,Dua Lipa,Levitating,2,44,11,3.4
2021-11-02 13:55:00,Miranda Lambert,Settling Down,2,44,11,3.29
2021-11-02 14:11:00,Céline Dion,Let's Talk About Love,2,44,11,5.21
2021-11-02 14:15:00,Céline Dion,"Because You Loved Me (Theme from ""Up Close and Personal"")",2,44,11,4.56
2021-11-02 14:19:00,Camila Cabello,"Million To One - from the Amazon Original Movie ""Cinderella""",2,44,11,3.39
2021-11-02 15:54:00,Kishore Kumar,Karvaten Badalte Rahe,2,44,11,5.18
2021-11-02 15:59:00,Kishore Kumar,Mere Naina Sawan Bhadon,2,44,11,5.43
2021-11-02 16:06:00,Kishore Kumar,"Dil Kya Kare - From ""Julie""",2,44,11,6.74
2021-11-02 16:11:00,Kishore Kumar,Yeh Sham Mastani,2,44,11,4.61
2021-11-02 16:14:00,Kishore Kumar,Mera Jeevan Kora Kagaz,2,44,11,3.59
2021-11-02 16:17:00,Kishore Kumar,Pal Pal Dil Ke Paas - Blackmail / Soundtrack Version,2,44,11,2.46
2021-11-03 01:53:00,Shawn Mendes,There's Nothing Holdin' Me Back,3,44,11,2.85
2021-11-03 01:57:00,Céline Dion,I Surrender,3,44,11,4.8
2021-11-03 02:01:00,Britney Spears,Criminal,3,44,11,3.75
2021-11-03 02:07:00,Lady Gaga,I'll Never Love Again - Extended Version,3,44,11,5.48
